channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id,cleaned_text,Topic_Category,cleaned_comment,sentiment_result,sentiment_score,sentiment_bucket,sentiment_score_raw,sentiment_label_raw,comment_weight,impact_weighted_sentiment
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdqhoWY4_e,"I like this format much better than the other . Because when it's 2 people, most of the time it's both people having the same opinion. Here it's like we take an idea and we get multiple points of view.",@JoelJose12345,UClXaG5i-lnqXbUMb6ayjTRQ,6,2025-09-29T07:08:06Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"i like this format much better than the other . because when it's 2 people, most of the time it's both people having the same opinion. here it's like we take an idea and we get multiple points of view.",religion / spirituality,"i like this format much better than the other . because when it's 2 people, most of the time it's both people having the same opinion. here it's like we take an idea and we get multiple points of view.","{'score': 0.72, 'category': 'Positive', 'score_raw': 0.72, 'category_raw': 'Positive'}",0.72,Positive,0.72,Positive,1.2,0.864
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANds81ZbBzD,"Yeah, this format is great. Except that one time when you decided to turn on a feminist. How uncomfortable you felt when she was talking. It's time to see someone about that childhood wound you carry. 
It's showing 😉",@Little_Shadow_,UCVLRgNZlbI04EE-ssMhgaiA,4,2025-09-29T07:20:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"yeah, this format is great. except that one time when you decided to turn on a feminist. how uncomfortable you felt when she was talking. it's time to see someone about that childhood wound you carry. 
it's showing",religion / spirituality,"yeah, this format is great. except that one time when you decided to turn on a feminist. how uncomfortable you felt when she was talking. it's time to see someone about that childhood wound you carry. 
it's showing","{'score': 0.2, 'category': 'Positive', 'score_raw': 0.2, 'category_raw': 'Negative'}",0.2,Positive,0.2,Negative,1.2,0.24
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANduqrW5RzI,Yes Praise Jesus Christ!,@PashaOCE,UCUxXdJAouuU-nCtlruc8RLg,2,2025-09-29T07:44:18Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,yes praise jesus christ!,religion / spirituality,yes praise jesus christ!,"{'score': 0.5, 'category': 'Positive', 'score_raw': 0.5, 'category_raw': 'Neutral'}",0.5,Positive,0.5,Neutral,1.2,0.6
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdw11VoL1o,@@Little_Shadow_ Which episode was that one please?!?,@Rainbow_Heart_888,UCEzmMzKrV7o5YDydDsU_6hw,0,2025-09-29T07:54:33Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,@ which episode was that one please?!?,religion / spirituality,@ which episode was that one please?!?,"{'score': 0.3, 'category': 'Positive', 'score_raw': 0.3, 'category_raw': 'Neutral'}",0.3,Positive,0.3,Neutral,1.0,0.3
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdwFnXYeu7,Bro you should have invited a Muslim like Muslim lantern ( Muhammad Ali).,@Musa-l4f7m,UCRoZiazVMbYbekHc2N_XQKA,2,2025-09-29T07:56:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,bro you should have invited a muslim like muslim lantern ( muhammad ali).,religion / spirituality,bro you should have invited a muslim like muslim lantern ( muhammad ali).,"{'score': 0.35, 'category': 'Positive', 'score_raw': 0.35, 'category_raw': 'Neutral'}",0.35,Positive,0.35,Neutral,1.2,0.42
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdz3kjikb-,💛💛👊,@sreedevi3652,UCxUxjhRpUgsfHOWXR7anR7Q,0,2025-09-29T08:21:09Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,,religion / spirituality,,"{'score': 0.0, 'category': 'Neutral', 'score_raw': 0.0, 'category_raw': 'Neutral'}",0.0,Neutral,0.0,Neutral,1.0,0.0
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdzArZNSQS,"I like the format but man… while I usually dig Dr K, I feel like he hijacked the first 35 mins and you could have maybe been more proactive in moving the discussion along - I think he derailed aspects and needed some prompts",,UCtYEPr8MNcUi16UFUzPCAjw,1,2025-09-29T08:22:07Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"i like the format but man while i usually dig dr k, i feel like he hijacked the first 35 mins and you could have maybe been more proactive in moving the discussion along - i think he derailed aspects and needed some prompts",religion / spirituality,"i like the format but man while i usually dig dr k, i feel like he hijacked the first 35 mins and you could have maybe been more proactive in moving the discussion along - i think he derailed aspects and needed some prompts","{'score': 0.25, 'category': 'Positive', 'score_raw': 0.25, 'category_raw': 'Neutral'}",0.25,Positive,0.25,Neutral,1.2,0.3
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-1Qh3ZDD,I really want a conversation with Esther Perel and Doctor K,@angelar7387,UCzQzrJdgrzY2vWeUwp0rF1w,1,2025-09-29T08:29:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,i really want a conversation with esther perel and doctor k,religion / spirituality,i really want a conversation with esther perel and doctor k,"{'score': 0.4, 'category': 'Positive', 'score_raw': 0.4, 'category_raw': 'Neutral'}",0.4,Positive,0.4,Neutral,1.2,0.48
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-Ih4XYX2,You need to have Britt Hartley on,@danicapaulos2347,UCYxIyh4lC0d4Lt_9B--N7WQ,2,2025-09-29T08:31:55Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,you need to have britt hartley on,religion / spirituality,you need to have britt hartley on,"{'score': 0.15, 'category': 'Neutral', 'score_raw': 0.15, 'category_raw': 'Neutral'}",0.15,Neutral,0.15,Neutral,1.2,0.18
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-NwpDpww,"Invite Omar Suleiman from Yaqeen Institute, he's got the most gentle, respectful manner and he's highly intelligent with an inclusive mindset 😊",@amberzen2379,UCTHS2hN6u3MqgAgTkfBZZpg,0,2025-09-29T08:32:38Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg,"invite omar suleiman from yaqeen institute, he's got the most gentle, respectful manner and he's highly intelligent with an inclusive mindset",religion / spirituality,"invite omar suleiman from yaqeen institute, he's got the most gentle, respectful manner and he's highly intelligent with an inclusive mindset","{'score': 0.8, 'category': 'Super Positive', 'score_raw': 0.8, 'category_raw': 'Positive'}",0.8,Super Positive,0.8,Positive,1.0,0.8
