channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AETs5gZIzn1,Really appreciate YOU Steven!!!,@neiled_It,UCInHJkF-OKFs-mY1YOYQBsw,46,2025-02-13T08:06:03Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AETw9M9iB3F,Would you be ok with me doing an energy report on yours and Alex’s energy dynamics?,@GrandAirTrineAstro,UCFrqRdZEiNwJtYgIqepZmbA,13,2025-02-13T08:41:30Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEU-WBRvQGO,"Definitely 💯 Thank you for this!
I’m on a Zoom every Monday with Alex Hormozi and it is incredibly valuable as I grow the ACT community (Ai Creator Tools). A place for creators & Entrepreneurs learning to use the best Ai tools for content creation.",@PureACT,UCZFcfYzSvYHa26GvvhNPpvA,8,2025-02-13T09:19:34Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEU0OIr7jO1,Finally a podcast between the two of you masterminds! Thanks!!,@alexandersimonsen8743,UCq4yOMTUMfsVFld_JS7C1Rg,8,2025-02-13T09:27:14Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEU82de5unx,"You need to interview the average small business owner who is doing well and how they created their own business etc. these millionaires have nothing in common with the average Joe, most of them got lucky with a Stock or had rich parents etc",@BG39-89,UCbNly_VkAoaFMWvjfbjUKiA,11,2025-02-13T10:34:11Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUA_jZeIfK,Eu espero cada vídeo ansiosamente! Se eu gosto? Tenha certeza que você e seu time transformam vidas para melhor. Gratidão!,@reginaferreira4231,UCH7uP3LUSphH3rh4EjYaGZQ,4,2025-02-13T10:56:19Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUCwKF78OT,"Yes, 100%. Keep rolling. Every podcast is like a Christmas present. You and your team are Santa and his elves. Muchas love x",@NatalieBarrington-v3s,UCCOMSQ7EdqLfz-lsGlRrdZw,7,2025-02-13T11:16:52Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEULfyg4DAQ,"The Man *WHO* Makes Millionaires. He’s a person, not a thing. Geez….",@RestingBitchface7,UCcvVLQlDMSptXpYqtyD0QIw,0,2025-02-13T12:33:17Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUOfwyr59Z,Love your podcast but stay away from these fake guru's please.,@trader_020,UCStXTvVz8GWTi0XfUqcHFSA,5,2025-02-13T12:59:30Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUUDDhZgtr,3hrs 14min😒Every bloody podcast is 2/3hrs most people who need this info are working well over 40hrs have kids and struggle to watch such a long episode not to mention keeping concentration for that time 😢,@Dia_dhuit,UCeKQMZDMqRO7z6878qfXsKQ,8,2025-02-13T13:47:52Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUUmyaU7nh,😊***,@sreedevi3652,UCxUxjhRpUgsfHOWXR7anR7Q,1,2025-02-13T13:52:53Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUXFYmQe0U,❤Thank you! The value is here!,@gerovani38,UCXk2_ZGQcqo5dAGfojjLPgg,1,2025-02-13T14:14:24Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEU_966J66I,"I'd like to hear about your guests bio and a bit more. Sometimes you ask them & sometimes you just go into the topic. I really think that, that  is a key element from the start then go from there. Sometimes i have have to go research myself who these people are! where as to hear it from themselves is more meaningful.  Just a suggestion please 🤗",@edannaherrera6259,UCDvCB6FeBNY4KGuO8v4D-yQ,4,2025-02-13T14:39:44Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUgih6YOPj,"Very nice, moral guys, totally insync with universal human rights on this podcast. Pure heart. Taking fiat money from people and give them hearts. Very nice stuff.",@shadowbanned4606,UC62TebuY_FhnW0_hgFXhBWw,0,2025-02-13T15:45:54Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUgoitOLxs,Is philanthropy being used to cover and deflect from scam arts?,@shadowbanned4606,UC62TebuY_FhnW0_hgFXhBWw,2,2025-02-13T15:46:43Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUhKHv6r_v,Who is really making fiat money out of nothing?,@shadowbanned4606,UC62TebuY_FhnW0_hgFXhBWw,1,2025-02-13T15:51:10Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Kl-I7sUcAOY,The Man That Makes Millionaires: Turn $0 to $10k With This Step By Step Formula! Alex Hormozi,2025-02-13T08:00:14Z,2528199,54494,UgyXX0vYT1P_AOn4JmV4AaABAg.AETrSwrBJZ5AEUh_CjLwkk,Ads are content with malicous intent.,@shadowbanned4606,UC62TebuY_FhnW0_hgFXhBWw,1,2025-02-13T15:53:20Z,False,True,UgyXX0vYT1P_AOn4JmV4AaABAg
