channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdBumeScLl,the jesus story is about how your claustrum work and how you get jesus home under 1% of all women on earth get jesus home in there life time that alone says it all,@noprivacyverner,UC58WDq3dmBtC-LoRJ90Kmew,16,2025-02-17T08:20:20Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdIqp5mgxQ,🇬🇧 🇬🇧 🇬🇧 🚂 🚂 🚂  🏔️ 🇮🇪 🇮🇪 🇮🇪 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🏴󠁧󠁢󠁷󠁬󠁳󠁿 👸🏼🤴🏻 https://youtu.be/d2FEYxkpCQ8?si=twERgizJlPFFqfsX,@isaacchase564,UCV8pnPXWLByGYHlK31g_CCg,0,2025-02-17T09:20:57Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdLBcI-VJr,"Of course,  we love these convos, Steve! That's why we keep coming back!!
 🎵Nothing can keep me, keep me from youuuuu. Ain't no mountain high enough🎵",@ivy4298,UCKnRgq3ql9qyrbaPZUvYhqA,3,2025-02-17T09:41:25Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdM1mteM0k,I appreciate Dr Bill von Hippel's transparent opinions on robots raising our kids,@rjy44,UCcwovP1cJSSbuF4huCtfoYA,1,2025-02-17T09:48:48Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdO59PblzI,Netfl*x has a new movie I watched last night... Called Cassandra 😭 don't trust robots in your home people!!!!!!!!!,@deedeegotgenetics,UCYKUlfrpHbflIfObNNNYgJw,1,2025-02-17T10:06:44Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdYoZjAnCc,I Love how honest he is about meaning. What he says about meaning really needs to be said more to the public. I hope he does more specific work on it.,@johndoyle8781,UC7iYI5cdmN_3wnWiUttz2Fg,2,2025-02-17T11:40:28Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdZHYQucgv,There is no way in hell I'm wasting my damn time on this BS,@Bob_Overlord_Government,UCR4RYy97h1aF6kw7WXOMPcw,2,2025-02-17T11:44:33Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdfOHYcdQ3,"No. I appreciate the informative conversations, but as a woman, I think it's disgusting to have thumbnails about sex and not discuss marriage. This is a very male-centered convo. Also, women who participate in this behavior are then called 304s and not considered marriage material. Finally, these are the same men who will leave a woman when she is sick and devalue her after kids and aging.  Also the same men who compete/kill/belittle each other and refuse to be kind for kindness sake, want to know why they are lonely? Please do a session on the cruelty and selfish epidemic of  men and how HISTORICALLY (some) men have ruined themselves and are driven by a constant need to debase and subjugate others to feel a modicum of temporary joy.",@tmac662,UC0IdSZ2NU-FLq5-oIyhzcGw,0,2025-02-17T12:46:38Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdfuqJcGID,"Steve, Can you please invite Dominic Williams, chief scientist at Difinity to talk about web 3. Dominic Williams is revolutionizing the blockchain space with the Internet Computer, setting the stage for the next era of decentralized innovation. His insights and vision are exactly what your audience needs to hear. Bringing him on your podcast would spark an engaging and transformative conversation that tech enthusiasts and futurists alike would love!",@musicofeyes,UC9PKxsRMruu8qem8pH9J_Kg,0,2025-02-17T12:51:13Z,False,True,UgzRjADZGHERcaWxY254AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,9gk3mNJs2FY,The Sex Psychologist: We're Not Having Enough Sex! Fat Makes You Attractive! Dr Bill Von Hippel,2025-02-17T08:00:14Z,1074485,20777,UgzRjADZGHERcaWxY254AaABAg.AEd9dEZEOtaAEdh79fE1Rq,"One group is saying there's to many people, then they attack that with the kids having kids talk, then they now say young people are not having kids. I guess by the time you get it together and got the stable job, etc. The guy will be still able to produce, but the women his age will be less likely and it would be best one being older than the other. It's deeper than explained 🙄 The Me Too movement has so many red/blue pill tripping. 💊 chill",@onlyagreeingsometimes,UC7uscJzSE5XjzW9s8tXE4FA,0,2025-02-17T13:01:47Z,False,True,UgzRjADZGHERcaWxY254AaABAg
