channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvCE0BhwWD,"I do like these  kind of convos,Thanks again Steven!",@therapydancewithAD,UCtL3i1k6b8FdJWfYDw4BeIg,81,2025-02-24T08:09:25Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvErF6UEvO,Yeeaasssss pleeaaseee !!,@GiovannaCarchedi,UC3z_8LJWO4SFhAOYVkNyJQQ,42,2025-02-24T08:32:23Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvEucyL6Ti,Thank you Steven B !!!! Thank you,@GiovannaCarchedi,UC3z_8LJWO4SFhAOYVkNyJQQ,21,2025-02-24T08:32:51Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvEvISp9YB,💗,@The3EyedTiger,UCFwmBqsxPJhoaQWUPsrZaeg,9,2025-02-24T08:32:57Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvFjFv3o9q,"I can only speak for myself, but, as a woman this speaker is the best. We, women, need a practical solution, as we also need to regulate our feelings in a healthy manner so that the feeling will be our strength, not our weakness or even worse standing between us and our goals.

I read her book, and it is legit, no bullshit.",@afranka87,UCThj7cR7RpmukEvrcek0weQ,42,2025-02-24T08:40:02Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvG9Uk4reD,"🎉🎉🎉🎉🎉🎉
I've watched you for quite some time and I two important suggestions to improve your channel. 
1. Please introduce yourself at the beginning of the program. 
I have no clue who u are.
2. Please introduce your guest and post their name in the beginning. 
I HOPE THIS HELPS.
Cynthia in Texas",@CynStone,UCHRMbjDDBQ-m5r-IjkJwe-w,34,2025-02-24T08:43:45Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvGPpT3zGB,"Yes, this woman is amazing. So glad she came back again 🎉🎉🎉Recently, when Mr Beast was spoken to and described in a positive manner, I questioned the authenticity of this channel. Glad to see that was likely just an anomaly though 🤷🏻‍♀️🤷🏻‍♀️ thanks for the great listen on this one!! 🙌🙌🙌🙌",@AtaloaLeask,UC2Wc1Tox1-HRztDG_ZexGZQ,11,2025-02-24T08:45:59Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvK4_A98-m,Yes.....pls bring on Patrick bet david,@Callhimcay,UCbNAh00aj1U7L3IKGtvO6ug,4,2025-02-24T09:18:02Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvLthzwQBZ,"Yes, so good. I’ve watched her before and got her book. Amazing points she makes.
I always teach my girls to walk straight, be a presence not a shadow, also, never play the victim!!!",@cris.andrade,UC1kEOf3JV-QNDghijwv18Ag,8,2025-02-24T09:33:54Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,7l_0ZcSuRwg,"Secret Agent: If You’re Easily Offended, You’re Easily Manipulated! This 1 Trick Catches A Lie In 2s",2025-02-24T08:00:06Z,3740740,111419,UgwaU4UpxZ4VV1aoDZ14AaABAg.AEvBOzeTEczAEvPdSrHzlE,Great video especially right before  international women’s day! Powerful words from another powerful woman,@The_Only_Tracy,UCyEscdUL_dluBGZKr8-8rlw,10,2025-02-24T10:06:38Z,False,True,UgwaU4UpxZ4VV1aoDZ14AaABAg
