channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUE_AWzejX,"offcourse, keep doing great work.",@words007,UCVNr6RCcMnQ9rto7eZTPoFA,53,2025-03-10T08:02:35Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUH79i6IYd,"Never knew this podcast would be possible so never asked for it, but oh am o greatful, thanks so much. And in general apreaciate it heaps🎉🎉",@sanity1197,UCXwU9Jrz3U-MeVlP5QEYGmg,33,2025-03-10T08:24:50Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUIYWQZy_P,"Yep, keep it up!",@MichaelEarl-yd6ho,UCYuhdPbk1HKXLXkhoIzTzvA,14,2025-03-10T08:37:18Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUJTnYMIuw,"Confident people speaking strongly outside their expertise is a great danger. 
My example is nuclear promoters without grid construction experience. 

Nuclear electricity must have a very big grid. Grids are Frighteningly expensive to build.

The Australian nuclear promoters want to fill the existing national electric grid but we need to remove all fossil fuel with 10 times more electricity. 

But 10 times more national grid capacity is Frighteningly ridiculous. 
So 10 times more nuclear electricity is impossible.

But medical doctors, and earth engineers and nuclear chemists and ....... confidential speak about fossil fueled CO2 emissions worldwide. 

The nuclear alternative will be so big that nuclear will  be in the way. 
Unworkable and unaffordable.",@stephenbrickwood1602,UCaKeBJQKOYVuJfflEPX66jw,11,2025-03-10T08:45:24Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFULPRZ5x5j,Yes,@MostafaEsk-sb5bo,UCluImK7HYFkX7qCm43FmTLQ,2,2025-03-10T09:02:17Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUODz9u-5o,"Body language and how to speak to be listened  are very useful and interesting topics, great material , the guest is very charismatic ❤",@sylwiasnazyk8224,UCzi3jOhLNjUGJNjpc3gqOrA,14,2025-03-10T09:26:56Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUQjmXirI8,"Quick question, what another quick question would you like to ask quickly?",@courageousoul,UC7c1nn4333UDLeTV69hja3A,8,2025-03-10T09:48:53Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUVLDfVSTn,"You and your team upgrade our life quality!love , from Portugal",@sandraisabel898,UCQpFmQEKGMEr-AMvHFDTHuw,5,2025-03-10T10:29:05Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUbmdrCRIe,"You are doing amazing job,for so many people, and I'm great full,Thank You❤",@Nottoday2424,UCvYfe7Ss_MFfKHImHgRgoag,1,2025-03-10T11:34:08Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUg9U1pFwR,"I do like these types of conversations, but for some reason I’m having difficulty listening to him. He is speaking way too fast and animated, which is causing me anxiety. I try not to look at him, but even with the cadence of his voice I’m not able to watch this video or listen to it. Sorry, but I will not be passing this one on.",@JaypeePrat3876,UCb7mEmTJ74WKv_1NUfyceFg,7,2025-03-10T12:12:21Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUkq58J_Mi,"I know this has probably been asked several times, but I have never heard it explained. 

When you ask the question at the end, why do you not say who asked it, and also, why do you never show their response to it?",@ilikemath6834,UCDxBFpJbIrfmN8o_TTp0T1g,2,2025-03-10T12:53:15Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUnO5CCY6a,Can you add English subtitle ? YT auto generated doesnt work properly.,@ayethetsanrus8715,UCbjP9g4p5DTT3AvxbuXfTXQ,1,2025-03-10T13:15:30Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUtQvPmcX_,"Thank you so much for this interview with Vihn, Steven🙏
That would be great if you can invite Caroline MgHugh to your podcast to😊",@ArtwoodzCraft,UC5XjDi0RNRFv8jZv6gABnzg,2,2025-03-10T14:08:19Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUvTrAWrk-,"Enjoyed this thoroughly. VG has shared gems - playing with octaves of the voice + facial cues + storytelling - comms skills. Shall  extol these with my Creative Agency especially, during pitches led by Gen Y & Z. Thank you",@ceceo4843,UC_qu_lP2xcMJCBk7IQbn_lg,2,2025-03-10T14:26:12Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUv_Sz-R0p,"Hi Steven, I have subscribed and I do watch the show. I just need assistance with my new small business.",@daleneisaacs2551,UCUA9wVJyFtpoMDMLU9mw-Yw,0,2025-03-10T14:27:06Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFUydMmB8Pg,Great ending! Subscribed. Thank you Both.,@damnwereinatightspot,UCCb1HnRF7cbgkMIMI_T541Q,0,2025-03-10T14:53:51Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFVAMdyiWEg,This interview was such fun and fascinating❤ Vinh is sooo charismatic that he drew me in and engaged me the entire time. He speaks my mother dialect teochew😭 I’m sooo happy. 🙌 Stephen I loved your testing your vocals hahaha😂 I hit the like button. 🎉,@karinah5487,UC9mYjOKkLbYm6sLhvVC9o3g,5,2025-03-10T16:45:01Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFVB-6vn_oC,Yes! I absolutely love him. Thank you so much for finally bringing him on the podcast. ❤,@coachterrinanette,UC8mx93xTuYQ7S0Il2Dv5iqQ,7,2025-03-10T16:50:33Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFVJeUe0jJK,❤❤ 🎉🎉,@lindamaturan2134,UCZOPEIyzKlBpthHjTa_Dg9A,0,2025-03-10T18:06:14Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFVREv-T6ii,"Usually, I listen to podcasts at 1.25 or 1.5x the speed. I actually listened at “normal” speed today. Thanks for this wonderful episode!",@carmenwallin5597,UCiC3EP3OaoJOKIi78N7PaMg,8,2025-03-10T19:12:31Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFVStPKNXS8,"It was great to see Steven ask Vihn the question about the low and the opposite forces. I think it helped him to untie some of that. Steven is really great asking the right questions.

I also get a feeling that if Vihn talked with his parents about it,  that they can help him somehow.",@JohnSmith-kw6be,UC0-LrRiE5XR73fCcEvn2sKg,2,2025-03-10T19:26:55Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFVYaXP3PvU,Already Did!,@TheZainrafi,UCJXxRKTACkJXcWwmt0XCNWA,1,2025-03-10T20:16:46Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFVbbYfKaWL,This is great,@andrewbarclay6573,UCT1jjQZ0EftGgvr3ORfBQjg,0,2025-03-10T20:51:52Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,oIiv_335yus,No. 1 Communication Expert: This Speaking Mistake Makes People Dislike You! Vinh Giang,2025-03-10T08:00:43Z,2996490,87385,UgwFBOgMwHycVhWb7AF4AaABAg.AFUESVloeE6AFVgPOn3BNv,🤍🖤❤️‍🩹🤘🏼❤️‍🔥👑🐐,@ethanjoyce_,UCzuRoOWzmC_OyVETejei7OA,0,2025-03-10T21:33:45Z,False,True,UgwFBOgMwHycVhWb7AF4AaABAg
