channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFayWuzRGxE,I feel with ten mill followers now you could probably let your content speak for itself without asking for likes and subs! Very much looking forward to this one.,@ThePonyd,UCzsxLZTh_ThVXOOSsBzCDzA,78,2025-03-13T08:07:31Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFb0YgB0sXf,"Get Gary Economics on, this guys popping off",@1c15apologetics7,UCLG81IcUIWIe96Ty75ZC35A,21,2025-03-13T08:33:58Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFb1Dp4tkcC,I need this type of information right now and I think a lot of people probably do too.  We're all feeling changes that we can't figure out and we need as much learning as possible.,@strawberrymage7352,UC1YCblPV63oJ_AnY4BWWzUg,28,2025-03-13T08:39:51Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFb1putMOnO,just attended the 10 day in cancun. love this man! have him on every year!,@julianOferrer77,UCjjf5xcYiXdtk8mFc661rmw,20,2025-03-13T08:45:12Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFb5sCRsbAg,@@1c15apologetics7 @TheDiaryOfaCEO i was coming to say exactly that!,@sandyscapes8573,UCu6EV74dtTLACtFtkWvRXbg,0,2025-03-13T09:20:28Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFb6X5wepiV,Stephen could you please provide audiotracks for different languages. I really want my mom to listen to this.,@Cordeliastudies,UCybu9-ekoZcVxgoFGhjK7Bw,18,2025-03-13T09:26:11Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFb8BtprXz6,"This episode has given me such a boost of energy, motivation, and courage. It brought clarity to emotions, thoughts, and behaviors I’ve been struggling with for some time. I’ve been working to make changes in my life, stepping out of my comfort zone, and this podcast gave me the strength to keep going. Thank you for sharing such empowering insights—it truly makes a difference!",@cherrypowpow8642,UCzW1Ofc8M1n8xVcx9XiWHfQ,13,2025-03-13T09:40:46Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFb9OBsDNtA,"@@1c15apologetics7 Nice one, I second that suggestion. Gary Stevenson and Steven Bartlett would be a really interesting conversation!",@RaefonB,UCzJjmknt0n4ZK1WS-MEzTIQ,0,2025-03-13T09:51:11Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFbARgEFHbA,"W'sup DOAC, I've been studying Dr. Joe Dispenzas message for about 5 years now if not more, it takes some time to grasp it and I believe it works. It would be heaven to have this conversation to fill in the gaps in my mind regarding his system so that I can use his wisdom to share with my community in Kenya. I think his info is Valuable and relevant in real life.",@LulukibaaraTV,UClXZEySmborHQNsXwxXxQOA,16,2025-03-13T10:00:24Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,G4hkYDjPSFs,Secret To Living Without Fear & Anxiety Forever! Your Mind Can Heal Itself! - Dr. Joe Dispenza,2025-03-13T08:00:09Z,2611959,57541,UgywsqPqVZpypVpAsHV4AaABAg.AFaxkpaNTWJAFbPX3HcEH0,"Digressing slightly, I just watched your clip show about running and you asked about subscribing, I went to ‘like’ and realised I wasn’t subscribed. Could be that not all of us realise we’re not subscribed to the clip show because we’re subscribed to this main channel?  I’ve subscribed now because I watch both and thank you for your work.  💕",@AskwithAmber,UC2NNAf3MSJk4FQ643cDPjdQ,7,2025-03-13T12:12:12Z,False,True,UgywsqPqVZpypVpAsHV4AaABAg
