channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGA2CAL_cD8,@@TheDiaryOfACEO Thank you new subby here you are appreciated. 😊,@Jay-k4d9k,UCTfFi8frWlijAWQb1-TyxMw,14,2025-03-27T08:21:02Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGA4M0J9vE9,Yes!!!!,@victoriajohnson3034,UCZGaPaHGnDEW_4cviLdqA_w,4,2025-03-27T08:39:51Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGABaw1leMt,"@@TheDiaryOfACEO a great subject but unfortunately very very time consuming. 
I prefer precise, direct information to the subject itself😊 it would be lovely if someone summarises precisely perhaps it then has 20 minutes of great sharing material. Thanks 🙏🏻",@Friedvoll,UCRKe7HZKvxslu4T83UoRz1Q,11,2025-03-27T09:43:12Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGAG_PiOJA7,"From  Ethiopia 🇪🇹 
❤❤❤❤❤❤",@tsegeredaayalew1129,UCnll8B6riaFkd6-bHH3GSLQ,1,2025-03-27T10:26:41Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGARPBsXxSm,"Love your work and that of those clever people. Today, I had to skip a lot. I usually listen to your work in the background,  but this speaker... her vocal fry was off the scale, and I had to switch sound off and go for subtitles viz didn't have the time for the whole thing.",@kirstennielsen4046,UC_bWCQT0j1dsoxoY5FkegAQ,6,2025-03-27T12:01:16Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGAUx_58xwx,"Can I just say, I usually listen to this on Spotify and can not see a subscribe button there, YouTube it's easy!  That might be why",@TheWellbeingConcierge,UC_Qr1YBd_sUAlERGLH8TLmg,0,2025-03-27T12:32:18Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGAeciOufmL,"I watch the videos that interest me, and then I have always 'liked' them. However I don't wish to subscribe, as then I will constantly receive alerts. The podcasts are diverse and varied - and that's great, but many subjects don't interest me and so I don't watch them, and do not wish to subscribe. That being said, thanks for what you provide.",@wackthegood8884,UCFBx91npHNCGo426-Sf9Ogg,0,2025-03-27T14:05:35Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGAgES6WAsm,@@TheDiaryOfACEO yes we appreciate these discussion,@Iamcelenajames,UCN7Ep4mDzyC9pyy1cP-lTQw,4,2025-03-27T14:19:36Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGAiIVpa3qZ,Vocal fry??​@@kirstennielsen4046,@sheryllevine1548,UCEFgpnMuTm4yGO20o569bbg,1,2025-03-27T14:37:38Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,0GQozcTPyO0,"Hormone Expert: Control Your Hormones Control Your Belly Fat! Cortisol, oestrogen, testosterone.",2025-03-27T06:00:00Z,919945,28048,Ugy_l_0Wt4F3FaefAuV4AaABAg.AGA0-RqFEHrAGAo5IBHqET,"Thanks so much, talking about this subject.  We ask Dr. to help,  but is always say the some. You will suffer for 10 years,  but I'm not going to give you anything to help.  I wish I can do a appointment with Dr. Sara.",@karlapimentel6807,UC-t-xHjq88Xy_cUE72oC_Zw,2,2025-03-27T15:28:16Z,False,True,Ugy_l_0Wt4F3FaefAuV4AaABAg
