channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmAD67xBLgqZg,"@shielagregiore should be on this show
Author of the great sex rescue
Women Deserve Better
Also author",@darj2323,UCHwyXT0gm5q9o1b1Qy4ZSeA,22,2025-01-10T06:20:08Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmAD7Pa03FtGI,Hey we need this with polish captions because polish women are very into awareness but most of them over 40 don't know English enough to understand this podcast.  Please do sth about it 🤩😍,@KrzysztofaMoras,UCqEn3uorXK7CzKcpgHI0Tjg,8,2025-01-10T18:13:30Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmADCz6uFZjBz,"Actually, I'm going to UNsubscribe. Because I am better at researching than you & your entire team put together, by all appearances. You've sold out -- you don't care enough to make sure your audience hears the medical consensus, or what the latest studies indicate, vs your guests' sales pitch. I don't trust you anymore. 
You are now a cult channel, only out for money, and you don't care if you are leading your audience to their peril. Shame on you. You could at least interview a guest from the other side of the debate next time. Your format is NOT the dialectic. Either you decided to go wherever the algorithm leads, or your research term has you totally baffooned, telling you they are doing quality research. They are mistaking sales pitches for research. You are providing salespeople a platform to lie from. It has been so gross to watch happen.",@StephanieSoressi,UC1s1oyvst_7JYe-ChUCziZA,2,2025-01-12T22:08:54Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmADDyPuQflZR,@@StephanieSoressiyour comment gave me pause. Would you elaborate specifically where the disinformation is in reference to this specific episode? I’m crunched for time so it would be helpful to know what to fact check. And I find there are many contradictory sources it’s crazy making. Thank you.,@Mom2Schman,UCcMq-Iw1UZNaZh-bpjTI0cQ,3,2025-01-13T07:22:00Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmADI14iB_D0j,I will post a link to this podcast in my groups. Thank you for creating such informative content.,@NityaVink,UCaMSRdc9wd9127DkltxyfVg,1,2025-01-14T21:11:01Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmADOzbwqdhfD,"Hi Steven, I live in Venezuela and I have always since joining, watched your podcast in English,  ow it appears in Spanish’s I would like to co tiniest listening in English, how can I change this? .please help",@mariagabrielacampsbiondi8504,UCvdKYg2AAvbm0OkuiEVmnPQ,4,2025-01-17T14:04:10Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmADPtux0JskQ,Can you address information from guests that give the polar opposite information regarding keto and the need for fiber. The functional medicine world is in alignment with this guest.,@pamjohnson4666,UCtPuDGLQnpqkxPkAbHmT1Hw,2,2025-01-17T22:33:34Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmADXe_u9VmAU,Great episode!,,UCeeKe4r4baj4cSI4tpqmHRw,1,2025-01-20T22:53:33Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmADyJXBMnLfy,@TheDiaryOfCEO,@elizabethmolina7g,UCP0zECQx49gpnCBBKfwA-3Q,0,2025-01-31T16:39:32Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,It5_C6AF1pk,Exercise & Nutrition Scientist: The Truth About Exercise On Your Period! Take These 4 Supplements!,2025-01-06T07:00:10Z,1601027,48197,UgxoiVkNb4Ji2Y54GvB4AaABAg.AD3jnYa5lmmAETTQlLYWNn,​@@StephanieSoressiI am actually curious about what you meant in your comment.please clarify your point.,@rossellaanzelmo2380,UC1frboTxLkRHLPuHIVH-v_A,0,2025-02-13T04:21:44Z,False,True,UgxoiVkNb4Ji2Y54GvB4AaABAg
