channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGtIyJpYsB-,👍,@ninjacat508,UCnvsJl2eCk3EeyDpym28A_A,35,2025-04-14T07:32:37Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGtZ9BfOW9L,Let us know how that head scar goes,@michaelfielding6666,UCMxILkDb1SpS0HZN5D4FnFA,38,2025-04-14T09:54:03Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGtZ9TaUMQo,"Thank you so very much for this interview. It’s been very helpful.👍

P.S. I liked the video and I’m a subscriber 😃",@julesonthebeach7,UCqhvjH2LsE-azAug4K7HvHQ,34,2025-04-14T09:54:05Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGtk3zoH9rl,"Hi,
Thanks for the very informative interviews. I think you would find Dr Pietro Mozzi a very interesting doctor to interview (you may need an Italian Translator if he accepted to be interviewed, but very worth it. ❤",@SimonettaAlbo,UC_wl1KlC24tNMtnt-IYcQ2g,14,2025-04-14T11:38:12Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGtkpGEnlSt,"Many folks don't want to sign in to google, which is necessary in order to like, subscribe, etc. Oh well.",@jkrofling9524,UCyEQnxJWqbMzvxKFjd2p0uw,23,2025-04-14T11:44:47Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGtm_WO0BMO,Im excited to watch this! DOAC has become a regular staple in my daily routine during work outs and washing dishes. Thanks for making great content! I will contribute what I can monthly to support this channel! ❤,@lynndoman,UCMyW71MG-YkkmHZLjZauaSg,16,2025-04-14T12:00:07Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGu4GbTsr0s,Awesome info Is there a brand that he recommend ? Thanks soon much 😊 ❤,@MarleneSwartz-f6k,UCRaQ03cT3Xsm9yHSF-uU1Rw,2,2025-04-14T14:43:25Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGu6VnkBCk8,AWESOME interview Thank You both so very much!!! Xx,@aharowna3539,UCw9LtTNg1ntuDnwbfMEN7FQ,16,2025-04-14T15:02:58Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGuOXAv1SmR,"I would love to do your subtitle captioning,  if you are interested",@JeniferDreis,UCchos8kIGRhaBldKHW9E0zw,12,2025-04-14T17:40:26Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,zECoaEZRRFU,No.1 Nitric Oxide Expert: This is the anti-aging cure no one is talking about!,2025-04-14T07:00:56Z,2374581,102386,Ugy3dLoL4gRXwsEmGTh4AaABAg.AGtFTPIeuZ0AGuOa75r7JF,you gotta let us know about your head scar,@howl9959,UCN_xhC92L8Z_gGLsm8MbrBg,11,2025-04-14T17:40:59Z,False,True,Ugy3dLoL4gRXwsEmGTh4AaABAg
