channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADn5BkEmCV2,Thank you for your relentlessness,@DallenTaylor-SimplyEditPro,UCKhY2lM8rIT6_D8o2-ivRCA,12,2025-01-27T08:02:37Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnAf4gI5BE,"I've been subbed to you a little over a year, I'm now unsubbing due to growing so tired and rolling my eyes at the way you act dumb/ask questions don't give push back and bring on idiotic guests who have been proven charlatans on the podcast. For every 1 podcast of yours I might listen to I skip 4, you are proof that being a successful CEO doesn't mean you're intelligent. Friends feel the same way. Ciao!",@PsyCrowZer0,UCVdey3MOOxYfBRmkx0rM1fw,104,2025-01-27T08:50:28Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnCnWvDRbD,I am unsubscribing from your channel after this video. Complete bullshit. Shame on you for not challenging her for your own financial reasons.,@doro6065,UCxD0pBe2Byb6ZCyu-IHxW0A,139,2025-01-27T09:09:05Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnDqVqA09T,Was subscribed until you deleted the episode with Dr Neal Barnard. Way to be a sell out.,@katiewolfrum3382,UC22J126QyUv6k7kDdVhjLBQ,54,2025-01-27T09:18:14Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnFHvJ-nRm,"Why do this after having multiple people on this pod cast who have all said the opposite, it's pretty annoying 😑",@ruggedalliancetribal3482,UCgj7NG_PaJf8rVZqnejcMmQ,62,2025-01-27T09:30:51Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnGeiJ7VUK,"@TheDiaryOfACEO   seems like somebody either got a stern talking to and/or a nice cash injection, to do such a 180.",@Indigoporcelain,UCIpdwIgyZ-k8mqUbE5XLI0w,61,2025-01-27T09:42:50Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnHPrujp0D,@TheDiaryOfACEO I think your reputation has dropped after having this guest on your show. Just scroll down to see all the comments.,@kimblearbuthnot,UCdSR__mokFE91eKsNRtPjzw,97,2025-01-27T09:49:25Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnMmKhpybC,"Well... I will have to give a dislike for bad guests. I still like the moderator, but can't watch this video to the end.",@Rasordog,UCKSa2PlBstaXq64-yL7k_PQ,50,2025-01-27T10:36:18Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnRxbCLsXj,"""nutribolics"" is in the eye of the beholder.  is this term being used to just push away other perspectives and data? feels like name calling vs. engaging in WHY other experts state that seed oil is unhealthy.",@deegir3354,UCJ12Ep13wQa8Oy18PA5zLnQ,29,2025-01-27T11:21:32Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,eOnIWDMNyfE,The Nutritional Scientist: Do Not Eat After 9pm! Link Between Chewing & Belly Fat!,2025-01-27T08:00:37Z,745736,15106,UgyuRJin-ZGf1HIf0xh4AaABAg.ADn50Y4RA-2ADnTXvzX_AV,What is your problem?  Your bribes are effecting your mind.  Change profession.,@Bob_Overlord_Government,UCR4RYy97h1aF6kw7WXOMPcw,2,2025-01-27T11:35:22Z,False,True,UgyuRJin-ZGf1HIf0xh4AaABAg
