channel_name,channel_id,video_id,video_title,video_published_at,view_count,video_like_count,comment_id,comment_text,author,author_id,comment_like_count,comment_published_at,is_pinned,is_reply,parent_comment_id
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdqhoWY4_e,"I like this format much better than the other . Because when it's 2 people, most of the time it's both people having the same opinion. Here it's like we take an idea and we get multiple points of view.",@JoelJose12345,UClXaG5i-lnqXbUMb6ayjTRQ,6,2025-09-29T07:08:06Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANds81ZbBzD,"Yeah, this format is great. Except that one time when you decided to turn on a feminist. How uncomfortable you felt when she was talking. It's time to see someone about that childhood wound you carry. 
It's showing 😉",@Little_Shadow_,UCVLRgNZlbI04EE-ssMhgaiA,4,2025-09-29T07:20:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANduqrW5RzI,Yes Praise Jesus Christ!,@PashaOCE,UCUxXdJAouuU-nCtlruc8RLg,2,2025-09-29T07:44:18Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdw11VoL1o,@@Little_Shadow_ Which episode was that one please?!?,@Rainbow_Heart_888,UCEzmMzKrV7o5YDydDsU_6hw,0,2025-09-29T07:54:33Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdwFnXYeu7,Bro you should have invited a Muslim like Muslim lantern ( Muhammad Ali).,@Musa-l4f7m,UCRoZiazVMbYbekHc2N_XQKA,2,2025-09-29T07:56:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdz3kjikb-,💛💛👊,@sreedevi3652,UCxUxjhRpUgsfHOWXR7anR7Q,0,2025-09-29T08:21:09Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANdzArZNSQS,"I like the format but man… while I usually dig Dr K, I feel like he hijacked the first 35 mins and you could have maybe been more proactive in moving the discussion along - I think he derailed aspects and needed some prompts",,UCtYEPr8MNcUi16UFUzPCAjw,1,2025-09-29T08:22:07Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-1Qh3ZDD,I really want a conversation with Esther Perel and Doctor K,@angelar7387,UCzQzrJdgrzY2vWeUwp0rF1w,1,2025-09-29T08:29:34Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-Ih4XYX2,You need to have Britt Hartley on,@danicapaulos2347,UCYxIyh4lC0d4Lt_9B--N7WQ,2,2025-09-29T08:31:55Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe-NwpDpww,"Invite Omar Suleiman from Yaqeen Institute, he's got the most gentle, respectful manner and he's highly intelligent with an inclusive mindset 😊",@amberzen2379,UCTHS2hN6u3MqgAgTkfBZZpg,0,2025-09-29T08:32:38Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe1RzKRBha,"Did you ever thought about looking into Islam what kind of life purpose Muslims have ? Maybe look into that I hope you can bring someone on your show as well who is Muslim. And they can share with everyone. 

And I did not create the jinn and mankind except to worship Me.” (Qur’an 51:56)",@786pathani,UCHrhloNrF6MOtqBy4VkK4Zw,1,2025-09-29T08:50:40Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe4wTqKjBl,We Love this shit man!,@CrackedCanvasCommunity,UCTNnshfGEM6OLgb4weU4ScQ,0,2025-09-29T09:21:11Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe5VgujWwK,Very western centric lense,@Freepal3st1n3,UC8jCUDEl2M2wiSPq64tQxnQ,2,2025-09-29T09:26:08Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANe5rr-loyI,Love them,@SaintAndScholar,UCvs0veiCCUKcS_KLTBqDbeQ,0,2025-09-29T09:29:17Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeA3-3JRFd,This was great to watch,@TheTourGuidesLunch,UCBbMlberQSjEwU5mqktqUow,0,2025-09-29T10:05:54Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
The Diary Of A CEO,UCGq-a57w-aPwyi3pW7XLiHw,Esu8BXLBmZ4,Atheist vs Christian vs Spiritual Thinker: The Paperclip Problem That Exposes Religion!,2025-09-29T07:00:15Z,58227,3338,UgwK5fuPVdGdnrRuUbB4AaABAg.ANdq3qa6jmIANeA3cQHb5k,YESSSSSSSS​@@danicapaulos2347,@Zackarius,UC0Gzga70Aa34AG0h0tGmhtg,0,2025-09-29T10:05:59Z,False,True,UgwK5fuPVdGdnrRuUbB4AaABAg
